name,price,shipping,free_returns,items_sold,item_status
Shop on eBay,2000,,False,,Brand New
"Garmin Instinct E-Sports Edition Smartwatch, Black Lava (010-02064-73)",13999,0,True,1015,Brand New
"Garmin Forerunner 45S, 39mm Easy-to-Use Built-In GPS Running Watch - Iris-",11110,0,True,48,New (Other)
"Garmin Venu Sq Music, Gps, Touchscreen Display Smartwatch - Black & Rose Gold",14506,0,True,0,New (Other)
Garmin Forerunner 35 Black GPS Sport Watch Wrist Based HR 010-01689-00,9999,0,True,0,Certified - Refurbished
"New ListingGarmin Fenix 6 Saphire, premium, multi sport, GPS watch.",15500,900,False,,Pre-Owned
 Garmin Venu Sq Shadow Gray with Slate Bezel Fitness Smartwatch 010-02427-00,8999,0,True,0,Certified - Refurbished
Garmin fenix 6 Pro GPS Watch Blk/Blk Band,34999,0,True,0,Brand New
"Garmin Forerunner 45S, 39mm  GPS Running Watch  , Black ",11899,0,False,63,Brand New
New ListingGarmin Instinct 2 Rugged GPS Smart Watch - Graphite (010-02064-00),9500,500,True,,Pre-Owned
Garmin Fenix 6 Pro Solar Edition 47mm Smartwatch - Black with Slate Gray Band,79999,0,False,0,Brand New
New ListingGarmin Fenix 5x sapphire,10200,1260,False,,Pre-Owned
Garmin Instinct Solar Rugged Outdoor  GPS Watch Tactical Edition  ,27900,0,False,0,Brand New
New ListingGarmin Fenix 3 HR Sapphire - With charger Factory reset ,175,540,False,,Pre-Owned
"Garmin Forerunner 45S, 39mm Heart Rate Monitoring, GPS Running Watch - Black-",10721,0,True,0,New (Other)
New ListingGarmin Instinct Rugged GPS Smart Watch - Graphite (010-02064-00),8900,1260,False,,Pre-Owned
NEW Garmin fenix 6X Pro Multi-Sport GPS Watch 51MM Black / Black,43399,0,True,11,Brand New
"Garmin Forerunner 735XT Multisport GPS Running Smartwatch, Black/Gray",14900,0,True,99,Brand New
Garmin Forerunner 45 GPS Heart Rate Monitor Running Smartwatch - Black,10999,0,True,0,Certified - Refurbished
"Garmin Forerunner 245 Music, GPS Running Smartwatch with Music, Black",20100,0,True,135,Brand New
New ListingGarmin Forerunner 245 Berry Smartwatch - (0100212001),5200,500,False,,Pre-Owned
"Garmin vivoactive 4, GPS smartwatch, Black",18980,0,False,,Brand New
New Listinggarmin instinct,5600,940,False,,Pre-Owned
Garmin Instinct Tactical Edition Outdoor Fitness Watch Coyote Tan 010-02064-71,17999,0,True,0,Certified - Refurbished
New ListingGarmin Venu 2 GPS Smart Watch - Slate / Black- (010-02430-11),12300,0,False,,Pre-Owned
Garmin Instinct Solar Rugged Outdoor Watch with GPS - Tidal Blue ,22399,0,True,,Brand New
New ListingGarmin Fenix 3 HR ,11000,900,False,,Pre-Owned
New ListingGarmin Fenix 6 Sapphire GPS Smartwatch - Gray/Black,20800,975,False,,Pre-Owned
