name,price,shipping,free_returns,items_sold,item_status
Shop on eBay,2000,,False,,Brand New
PETZL GRIGRI Blue Belay Device LARGE,9000,975,False,,Pre-Owned
Petzl Grigri 2 D14BG Belay Device,5300,1190,False,,Brand New
Petzl Grigri 2 One Size Blue Belay Device Used Rock Climbing + Sport Climb Trad,2500,940,False,,Pre-Owned
Petzl GriGri + Belay Device Grey,12995,0,True,0,Brand New
Petzl GriGri + Belay Device,10900,0,False,,Brand New
Petzl Grigri Belay Device Gray,9995,0,True,0,Brand New
"Petzl Grigri 2 Climbing Belay Gear Device, Locking Carabiner, Grip Pro Trainer",11000,1060,False,,Pre-Owned
Genuine PETZL GRIGRI 2 Belay Rappel Device With Assisted Braking *SEALED! FAST!,12000,0,False,0,Brand New
Petzl GriGri + Belay Device Orange,12995,0,True,0,Brand New
Petzl Gri Gri,4500,1000,False,,Pre-Owned
Petzl GriGri + Belay Device Purple,12995,0,True,0,Brand New
Petzl GRIGRI Belay Device Orange,9500,600,False,,Pre-Owned
Petzl Grigri Belay Device Blue,9995,0,True,,Brand New
PETZL GRIGRI + Belay Device with Cam-Assisted Blocking and Anti-Panic Handle ...,17979,0,False,,Brand New
PETZL Grigri Assisted Braking Belay Device Blue One Size,13641,0,False,,Brand New
Petzl GriGri + Plus - Assisted Braking Belay Device With Anti-Panic Handle,12757,0,False,0,Brand New
Peltz Grigri2 Belay device with assisted breaking,9900,0,False,,New (Other)
PETZL Grigri Mod. D13A Grigio One Size,12202,0,True,,Brand New
Petzl Grigri Belay Device Red-orange new,7851,1899,False,,Brand New
Petzl Grigri 2 Belay Device Turquoise One Size,11199,0,True,,Brand New
"Petzl GRIGRI + Belay Device with Cam-Assisted Blocking and Anti-Panic Handle, Su",19900,940,False,,New (Other)
PETZL GRIGRI + Belay Device with Cam-Assisted Blocking and Anti-Panic Handle,11995,0,False,,Brand New
GriGri + Belay Device ORANGE by Petzl - BRAND NEW - FREE SHIPPING US Seller,13888,0,False,0,Brand New
"Petzl GriGri with cam-assisted blocking belay device, climbing hardware",11500,700,False,,Brand New
Petzl Red GRIGRI 3 Climbing Belay Device,20813,0,True,,Brand New
PETZL Grigri Assisted Braking Belay Device Blue One Size,12563,0,True,,Brand New
Petzl GRIGRI Plus Belay Device Orange,15324,0,False,,Brand New
"PETZL - GRIGRI +, Belay Device with Assisted Braking, Orange",17121,0,True,,Brand New
Grigri Belay Device Turquoise,15385,0,False,,Brand New
", GRIGRI plus Belay Device, Grey",19854,0,True,,Brand New
"GRIGRI + Belay Device with Cam-Assisted Blocking and Anti-Panic Handle, Suitable",19444,0,False,,Brand New
